operation, active cores, active slots, seconds, nanoseconds, bytes, iterations, slot sizes
write, 0, 1, 0, 990679, 131072, 8192, 1024
write, 0, 1, 0, 971087, 131072, 8192, 1024
write, 0, 1, 0, 971127, 131072, 8192, 1024
write, 0, 1, 0, 971117, 131072, 8192, 1024
write, 0, 1, 0, 987738, 131072, 8192, 1024
write, 0, 1, 0, 971107, 131072, 8192, 1024
write, 0, 1, 0, 971127, 131072, 8192, 1024
write, 0, 1, 0, 971118, 131072, 8192, 1024
write, 0, 1, 0, 986939, 131072, 8192, 1024
write, 0, 1, 0, 971097, 131072, 8192, 1024
write, 0, 1, 0, 971117, 131072, 8192, 1024
write, 0, 1, 0, 971117, 131072, 8192, 1024
write, 0, 1, 0, 985759, 131072, 8192, 1024
write, 0, 1, 0, 971117, 131072, 8192, 1024
write, 0, 1, 0, 971117, 131072, 8192, 1024
write, 0, 1, 0, 971117, 131072, 8192, 1024
write, 0, 1, 0, 986119, 131072, 8192, 1024
