operation, contention, seconds, nanoseconds, bytes, iterations
write, 2, 0, 668107, 131072, 8192
write, 2, 0, 675947, 131072, 8192
write, 2, 0, 676177, 131072, 8192
write, 2, 0, 672638, 131072, 8192
write, 2, 0, 680258, 131072, 8192
write, 2, 0, 680278, 131072, 8192
write, 2, 0, 695830, 131072, 8192
write, 2, 0, 669467, 131072, 8192
write, 2, 0, 676168, 131072, 8192
write, 2, 0, 666447, 131072, 8192
write, 2, 0, 670127, 131072, 8192
write, 2, 0, 669127, 131072, 8192
write, 2, 0, 671747, 131072, 8192
write, 2, 0, 668557, 131072, 8192
write, 2, 0, 679438, 131072, 8192
write, 2, 0, 666927, 131072, 8192
write, 2, 0, 666987, 131072, 8192
write, 2, 0, 665627, 131072, 8192
write, 2, 0, 677648, 131072, 8192
write, 2, 0, 678948, 131072, 8192
write, 2, 0, 670067, 131072, 8192
write, 2, 0, 669697, 131072, 8192
write, 2, 0, 676538, 131072, 8192
write, 2, 0, 685779, 131072, 8192
write, 2, 0, 671617, 131072, 8192
write, 2, 0, 664926, 131072, 8192
write, 2, 0, 682009, 131072, 8192
write, 2, 0, 662476, 131072, 8192
write, 2, 0, 669997, 131072, 8192
write, 2, 0, 670798, 131072, 8192
write, 2, 0, 671527, 131072, 8192
write, 2, 0, 664037, 131072, 8192
write, 2, 0, 675657, 131072, 8192
write, 2, 0, 663016, 131072, 8192
write, 2, 0, 667337, 131072, 8192
write, 2, 0, 658876, 131072, 8192
write, 2, 0, 661726, 131072, 8192
write, 2, 0, 661326, 131072, 8192
write, 2, 0, 681998, 131072, 8192
write, 2, 0, 676808, 131072, 8192
write, 2, 0, 669537, 131072, 8192
write, 2, 0, 633334, 131072, 8192
write, 2, 0, 605041, 131072, 8192
write, 2, 0, 662516, 131072, 8192
write, 2, 0, 674248, 131072, 8192
write, 2, 0, 666777, 131072, 8192
write, 2, 0, 655105, 131072, 8192
write, 2, 0, 681698, 131072, 8192
write, 2, 0, 667477, 131072, 8192
write, 2, 0, 667997, 131072, 8192
write, 2, 0, 679118, 131072, 8192
write, 2, 0, 667837, 131072, 8192
write, 2, 0, 673407, 131072, 8192
write, 2, 0, 681608, 131072, 8192
write, 2, 0, 679998, 131072, 8192
write, 2, 0, 663647, 131072, 8192
write, 3, 0, 886208, 131072, 8192
write, 3, 0, 876667, 131072, 8192
write, 3, 0, 880188, 131072, 8192
write, 3, 0, 883638, 131072, 8192
write, 3, 0, 879038, 131072, 8192
write, 3, 0, 882128, 131072, 8192
write, 3, 0, 883989, 131072, 8192
write, 3, 0, 875898, 131072, 8192
write, 3, 0, 887739, 131072, 8192
write, 3, 0, 869347, 131072, 8192
write, 3, 0, 880768, 131072, 8192
write, 3, 0, 886099, 131072, 8192
write, 3, 0, 889419, 131072, 8192
write, 3, 0, 885098, 131072, 8192
write, 3, 0, 887919, 131072, 8192
write, 3, 0, 877248, 131072, 8192
write, 3, 0, 886559, 131072, 8192
write, 3, 0, 898850, 131072, 8192
write, 3, 0, 886929, 131072, 8192
write, 3, 0, 876608, 131072, 8192
write, 3, 0, 884359, 131072, 8192
write, 3, 0, 877238, 131072, 8192
write, 3, 0, 871987, 131072, 8192
write, 3, 0, 884839, 131072, 8192
write, 3, 0, 878808, 131072, 8192
write, 3, 0, 884009, 131072, 8192
write, 3, 0, 888319, 131072, 8192
write, 3, 0, 868267, 131072, 8192
write, 3, 0, 881808, 131072, 8192
write, 3, 0, 890139, 131072, 8192
write, 3, 0, 881328, 131072, 8192
write, 3, 0, 884508, 131072, 8192
write, 3, 0, 894719, 131072, 8192
write, 3, 0, 875838, 131072, 8192
write, 3, 0, 881508, 131072, 8192
write, 3, 0, 882728, 131072, 8192
write, 3, 0, 880458, 131072, 8192
write, 3, 0, 877508, 131072, 8192
write, 3, 0, 879328, 131072, 8192
write, 3, 0, 877647, 131072, 8192
write, 3, 0, 886698, 131072, 8192
write, 3, 0, 880428, 131072, 8192
write, 3, 0, 880038, 131072, 8192
write, 3, 0, 872877, 131072, 8192
write, 3, 0, 879358, 131072, 8192
write, 3, 0, 880558, 131072, 8192
write, 3, 0, 878878, 131072, 8192
write, 3, 0, 882909, 131072, 8192
write, 3, 0, 897070, 131072, 8192
write, 3, 0, 875107, 131072, 8192
write, 3, 0, 878927, 131072, 8192
write, 3, 0, 879888, 131072, 8192
write, 3, 0, 876508, 131072, 8192
write, 3, 0, 894289, 131072, 8192
write, 3, 0, 876038, 131072, 8192
write, 3, 0, 886439, 131072, 8192
write, 3, 0, 891269, 131072, 8192
write, 3, 0, 867906, 131072, 8192
write, 3, 0, 875807, 131072, 8192
write, 3, 0, 864837, 131072, 8192
write, 3, 0, 868467, 131072, 8192
write, 3, 0, 883529, 131072, 8192
write, 3, 0, 881548, 131072, 8192
write, 3, 0, 864257, 131072, 8192
write, 3, 0, 884958, 131072, 8192
write, 3, 0, 888329, 131072, 8192
write, 3, 0, 877288, 131072, 8192
write, 3, 0, 872057, 131072, 8192
write, 3, 0, 882119, 131072, 8192
write, 3, 0, 877518, 131072, 8192
write, 3, 0, 874867, 131072, 8192
write, 3, 0, 878457, 131072, 8192
write, 3, 0, 870397, 131072, 8192
write, 3, 0, 877068, 131072, 8192
write, 3, 0, 885268, 131072, 8192
write, 3, 0, 887788, 131072, 8192
write, 3, 0, 889249, 131072, 8192
write, 3, 0, 888459, 131072, 8192
write, 3, 0, 885309, 131072, 8192
write, 3, 0, 877077, 131072, 8192
write, 3, 0, 877577, 131072, 8192
write, 3, 0, 873797, 131072, 8192
write, 3, 0, 883919, 131072, 8192
write, 3, 0, 874887, 131072, 8192
write, 3, 0, 877638, 131072, 8192
write, 3, 0, 890429, 131072, 8192
write, 3, 0, 872637, 131072, 8192
write, 3, 0, 887538, 131072, 8192
